"gbifID","species","basisOfRecord","date","year","decimalLatitude","decimalLongitude"
"2028226286","Riccia fluitans","Herbarium record",1943-08-25,"1943","59.366667","-126.05"
"1804479205","Riccia fluitans","Herbarium record",1960-06-29,"1960","59.0","-126.0"
"1949668660","Riccia fluitans","Herbarium record",1989-09-08,"1989","50.783333","-119.5"
"1987894199","Riccia fluitans","Herbarium record",1979-08-26,"1979","49.2","-122.1"
"4111786068","Riccia fluitans","iNat record",2004-09-01,"2004","51.416193","-120.211543"
"3307119834","Riccia fluitans","iNat record",2021-06-11,"2021","49.498143","-124.74924"
"4431022991","Riccia fluitans","iNat record",1994-09-25,"1994","49.939185","-119.395847"
"4954311828","Riccia fluitans","iNat record",2024-06-11,"2024","49.118037","-116.626406"
"2574256432","Riccia fluitans","iNat record",2013-05-31,"2013","49.938272","-119.393439"
"5282037182","Riccia fluitans","iNat record",2025-07-16,"2025","56.100178","-121.099244"
"3408089274","Riccia fluitans","iNat record",2021-11-03,"2021","48.983137","-123.555955"
"5176886848","Riccia fluitans","iNat record",2025-05-18,"2025","49.303764","-119.537964"
"3858444709","Riccia fluitans","iNat record",2022-05-26,"2022","50.137547","-119.34166"
"5167294340","Riccia fluitans","iNat record",2025-05-18,"2025","49.30372","-119.537995"
"3947331694","Riccia fluitans","iNat record",2022-05-26,"2022","50.137562","-119.341789"
"3407914189","Riccia fluitans","iNat record",2021-11-03,"2021","48.98317","-123.556053"
"3903084424","Riccia fluitans","iNat record",2022-05-26,"2022","50.137302","-119.341805"
"3858493838","Riccia fluitans","iNat record",2022-05-26,"2022","50.137547","-119.34166"
"3307146902","Riccia fluitans","iNat record",2021-06-11,"2021","49.502102","-124.734488"
"4954278018","Riccia fluitans","iNat record",2024-06-11,"2024","49.117897","-116.630354"
"3858712720","Riccia fluitans","iNat record",2022-05-26,"2022","50.137547","-119.34166"
"4954335845","Riccia fluitans","iNat record",2024-06-11,"2024","49.117891","-116.630396"
"3070423810","Riccia fluitans","iNat record",2021-03-31,"2021","49.498095","-124.74932"
"4465472361","Riccia fluitans","iNat record",2023-12-08,"2023","49.501137","-124.732422"
"2573924444","Riccia fluitans","iNat record",2016-10-31,"2016","49.938521","-119.392975"
"3858418364","Riccia fluitans","iNat record",2022-05-26,"2022","50.137348","-119.342077"
"2273242823","Riccia fluitans","iNat record",2019-05-05,"2019","48.990968","-123.570254"
"3465908362","Riccia fluitans","iNat record",2013-06-07,"2013","49.938482","-119.393315"
"1091054981","Riccia fluitans","Herbarium record",1943-08-25,"1943","59.366667","-126.05"
"1989041735","Riccia fluitans","Herbarium record",1943-08-25,"1943","59.36667","-126.05"
"4513897160","Riccia fluitans","Herbarium record",1974-07-01,"1974","59.25","-126.08"
"1987842799","Riccia fluitans","Herbarium record",1967-09-01,"1967","59.6","-126.6"
"1987791285","Riccia fluitans","Herbarium record",1974-03-24,"1974","49.3","-122.9"
"1927992134","Riccia fluitans","Herbarium record",1889-07-18,"1889","50.83","-119.0"
