"gbifID","species","basisOfRecord","date","year","decimalLatitude","decimalLongitude"
"1805295547","Roellobryon roellii","Herbarium record",,"1935","49.2","-117.283333"
"1805430852","Roellobryon roellii","Herbarium record",1984-09-13,"1984","49.038017","-121.906207"
"3416715964","Roellobryon roellii","Herbarium record",,"1935","49.671944","-116.875"
"2005563920","Roellobryon roellii","Herbarium record",1926-07-20,"1926","49.952778","-117.35833"
"2005531325","Roellobryon roellii","Herbarium record",1969-08-20,"1969","50.116667","-122.96667"
"2005563944","Roellobryon roellii","Herbarium record",1984-09-13,"1984","49.066667","-121.96667"
"2005531386","Roellobryon roellii","Herbarium record",1941-07-22,"1941","51.266667","-117.516667"
"4076824688","Roellobryon roellii","Herbarium record",1974-09-22,"1974","49.05","-121.283333"
"1804426341","Roellobryon roellii","Herbarium record",1893-07-10,"1893","49.15","-124.05"
"1804457366","Roellobryon roellii","Herbarium record",1893-07-10,"1893","49.15","-124.05"
"1804477382","Roellobryon roellii","Herbarium record",1889-08-11,"1889","50.9667","-118.5"
"5076449589","Roellobryon roellii","Herbarium record",,"1935","49.671944","-116.875"
"5076449590","Roellobryon roellii","Herbarium record",1941-07-22,"1941","51.266667","-117.516667"
"5076449591","Roellobryon roellii","Herbarium record",1893-07-10,"1893","49.149722","-124.051111"
"1949668509","Roellobryon roellii","Herbarium record",1978-08-24,"1978","51.216667","-124.133333"
"1949668210","Roellobryon roellii","Herbarium record",1978-08-25,"1978","51.116667","-124.266667"
"1987811862","Roellobryon roellii","Herbarium record",1978-07-11,"1978","49.8","-117.7"
"1987770477","Roellobryon roellii","Herbarium record",,"1981","50.3","-122.2"
"1987853370","Roellobryon roellii","Herbarium record",1986-07-16,"1986","49.9","-125.9"
"1987819060","Roellobryon roellii","Herbarium record",1978-07-13,"1978","49.8","-117.7"
"1987925762","Roellobryon roellii","Herbarium record",1986-03-18,"1986","49.9","-121.4"
"1987878887","Roellobryon roellii","Herbarium record",1979-10-07,"1979","50.0","-123.1"
"1987778962","Roellobryon roellii","Herbarium record",1981-07-06,"1981","51.8","-119.8"
"1987760270","Roellobryon roellii","Herbarium record",1992-07-27,"1992","59.5","-137.8"
"1987729882","Roellobryon roellii","Herbarium record",1978-08-06,"1978","51.1","-117.6"
"1987728725","Roellobryon roellii","Herbarium record",1977-07-27,"1977","50.4","-116.8"
"1987932396","Roellobryon roellii","Herbarium record",1980-08-23,"1980","49.8","-123.0"
"1987884870","Roellobryon roellii","Herbarium record",2018-06-10,"2018","50.1","-123.004"
"1987732327","Roellobryon roellii","Herbarium record",2011-08-07,"2011","50.1","-122.97"
"1987908912","Roellobryon roellii","Herbarium record",2004-07-04,"2004","51.7","-119.9"
"1987907042","Roellobryon roellii","Herbarium record",1977-07-18,"1977","50.1","-117.7"
"1987883095","Roellobryon roellii","Herbarium record",2015-06-27,"2015","50.12","-122.95"
"1987893804","Roellobryon roellii","Herbarium record",1976-07-24,"1976","51.3","-117.5"
"1987747407","Roellobryon roellii","Herbarium record",1992-07-23,"1992","59.6","-137.2"
"5216737284","Roellobryon roellii","iNat record",2025-06-27,"2025","49.740964","-125.319942"
"4982119131","Roellobryon roellii","iNat record",2024-06-26,"2024","49.060741","-117.041718"
"5008246227","Roellobryon roellii","iNat record",2024-07-31,"2024","50.066106","-122.939987"
"4919492324","Roellobryon roellii","iNat record",2024-07-28,"2024","49.714038","-125.315462"
"4904322293","Roellobryon roellii","iNat record",2024-06-25,"2024","50.288472","-125.69631"
"3873177376","Roellobryon roellii","iNat record",2022-07-19,"2022","49.744328","-125.299147"
"5205849768","Roellobryon roellii","iNat record",2025-06-15,"2025","49.369892","-122.955262"
"5216123667","Roellobryon roellii","iNat record",2025-06-30,"2025","49.733008","-125.31932"
"4901884303","Roellobryon roellii","iNat record",2024-06-22,"2024","49.478035","-124.978928"
"4926397619","Roellobryon roellii","iNat record",2024-07-06,"2024","49.201685","-120.998022"
"3858438855","Roellobryon roellii","iNat record",2022-06-07,"2022","49.150138","-124.050998"
"4926166046","Roellobryon roellii","iNat record",2024-07-05,"2024","49.115919","-120.751989"
"3859571703","Roellobryon roellii","iNat record",2022-05-21,"2022","49.041191","-119.55513"
"5231693657","Roellobryon roellii","iNat record",2025-07-13,"2025","49.699603","-125.36508"
"4919518775","Roellobryon roellii","iNat record",2024-07-27,"2024","49.741292","-125.319537"
"3860302016","Roellobryon roellii","iNat record",2022-07-02,"2022","53.293258","-125.154268"
"3860128858","Roellobryon roellii","iNat record",2022-06-07,"2022","49.155472","-124.048933"
"3384043211","Roellobryon roellii","iNat record",2021-09-11,"2021","49.728358","-116.950657"
"3873099697","Roellobryon roellii","iNat record",2022-07-19,"2022","49.744231","-125.2994"
"3873870617","Roellobryon roellii","iNat record",2022-07-19,"2022","49.753631","-125.297981"
"5216468280","Roellobryon roellii","iNat record",2025-06-30,"2025","49.726692","-125.312127"
"3873530066","Roellobryon roellii","iNat record",2022-07-12,"2022","49.740961","-125.345994"
"2028212912","Roellobryon roellii","Herbarium record",1992-07-23,"1992","59.566667","-137.15"
"3888791622","Roellobryon roellii","iNat record",2022-07-27,"2022","50.105428","-122.921697"
"1987823176","Roellobryon roellii","Herbarium record",1976-07-30,"1976","49.1","-117.0"
"1987741095","Roellobryon roellii","Herbarium record",1982-07-18,"1982","49.1","-121.8"
"1987717831","Roellobryon roellii","Herbarium record",1986-07-23,"1986","49.6","-123.2"
"1987904016","Roellobryon roellii","Herbarium record",1982-07-18,"1982","49.1","-121.8"
"1987840505","Roellobryon roellii","Herbarium record",1977-06-30,"1977","49.3","-117.7"
"1987803381","Roellobryon roellii","Herbarium record",1983-09-29,"1983","49.6","-123.1"
"1987728887","Roellobryon roellii","Herbarium record",1977-07-11,"1977","49.8","-117.2"
"1987833846","Roellobryon roellii","Herbarium record",1976-07-10,"1976","49.7","-117.2"
"1987917968","Roellobryon roellii","Herbarium record",2013-07-27,"2013","50.064","-122.942"
"1987781660","Roellobryon roellii","Herbarium record",1980-05-31,"1980","53.44","-120.52"
"1987752672","Roellobryon roellii","Herbarium record",1994-06-26,"1994","53.3","-132.2"
"1987919006","Roellobryon roellii","Herbarium record",1979-06-29,"1979","54.8","-127.3"
"1987914330","Roellobryon roellii","Herbarium record",,"1980","50.2","-122.2"
"1987832375","Roellobryon roellii","Herbarium record",1982-08-19,"1982","49.7","-125.6"
"1987755450","Roellobryon roellii","Herbarium record",1977-08-11,"1977","49.7","-116.0"
"1987730516","Roellobryon roellii","Herbarium record",1980-07-11,"1980","49.1","-124.7"
"1987754464","Roellobryon roellii","Herbarium record",1981-07-23,"1981","49.8","-122.9"
"1144760588","Roellobryon roellii","Herbarium record",1893-07-10,"1893","50.86361","-126.54139"
