"gbifID","species","basisOfRecord","date","year","decimalLatitude","decimalLongitude"
"1989108183","Scapania bolanderi","Herbarium record",1970-04-14,"1970","50.9","-127.28333"
"1988915850","Scapania bolanderi","Herbarium record",,"1938","52.416667","-127.666667"
"1805294831","Scapania bolanderi","Herbarium record",1901-06-29,"1901","48.55","-124.416667"
"1805290561","Scapania bolanderi","Herbarium record",1901-06-29,"1901","48.55","-124.416667"
"1805299703","Scapania bolanderi","Herbarium record",1908-06-04,"1908","48.433333","-123.35"
"1805300073","Scapania bolanderi","Herbarium record",1913-05-07,"1913","54.006944","-130.246944"
"1805300801","Scapania bolanderi","Herbarium record",1913-05-07,"1913","54.006944","-130.246944"
"1805302275","Scapania bolanderi","Herbarium record",1909-05-07,"1909","48.933333","-125.516667"
"1805292450","Scapania bolanderi","Herbarium record",1901-06-27,"1901","48.55","-124.416667"
"1805302927","Scapania bolanderi","Herbarium record",1893-05-19,"1893","49.0","-124.717"
"1805294197","Scapania bolanderi","Herbarium record",1902-06-20,"1902","49.216667","-122.916667"
"1805295568","Scapania bolanderi","Herbarium record",,"1912","48.65","-123.416667"
"1805285997","Scapania bolanderi","Herbarium record",1887-05-03,"1887","49.683","-125.933"
"1805290883","Scapania bolanderi","Herbarium record",1901-06-28,"1901","48.55","-124.416667"
"1805285268","Scapania bolanderi","Herbarium record",,"1902","49.216667","-122.916667"
"3416741792","Scapania bolanderi","Herbarium record",1984-07-07,"1984","50.0","-122.9"
"3416741061","Scapania bolanderi","Herbarium record",2001-07-18,"2001","52.930833","-132.063056"
"2005602785","Scapania bolanderi","Herbarium record",1991-07-27,"1991","49.644444","-123.208333"
"2005602896","Scapania bolanderi","Herbarium record",1964-09-13,"1964","53.05","-132.03333"
"2005602879","Scapania bolanderi","Herbarium record",1964-09-09,"1964","54.245556","-130.118333"
"2005602902","Scapania bolanderi","Herbarium record",1978-02-12,"1978","49.340833","-122.455556"
"2005602882","Scapania bolanderi","Herbarium record",1961-04-03,"1961","49.25","-123.133333"
"2005602900","Scapania bolanderi","Herbarium record",1964-09-09,"1964","54.280833","-130.2725"
"2005602926","Scapania bolanderi","Herbarium record",,"1927","50.341667","-125.405278"
"2005602909","Scapania bolanderi","Herbarium record",1979-06-21,"1979","53.489245","-129.72347"
"2005603010","Scapania bolanderi","Herbarium record",1975-07-03,"1975","53.766667","-132.116667"
"2005602932","Scapania bolanderi","Herbarium record",1969-08-21,"1969","48.84096","-123.286396"
"2005602846","Scapania bolanderi","Herbarium record",1984-07-07,"1984","50.0","-122.9"
"4076826390","Scapania bolanderi","Herbarium record",1974-03-30,"1974","48.829576","-125.146331"
"4076826391","Scapania bolanderi","Herbarium record",1975-06-10,"1975","49.133333","-121.233333"
"4076826392","Scapania bolanderi","Herbarium record",1974-05-22,"1974","49.359972","-123.358356"
"4076829402","Scapania bolanderi","Herbarium record",1909-05-12,"1909","48.933333","-125.516667"
"2028180897","Scapania bolanderi","Herbarium record",1966-06-26,"1966","53.333333","-132.25"
"2028187334","Scapania bolanderi","Herbarium record",1970-04-10,"1970","50.85","-127.633333"
"2028180170","Scapania bolanderi","Herbarium record",2003-11-03,"2003","48.983333","-123.666667"
"2028232834","Scapania bolanderi","Herbarium record",1970-04-10,"1970","50.85","-127.633333"
"2028255865","Scapania bolanderi","Herbarium record",1981-03-21,"1981","49.166667","-121.666667"
"2028264440","Scapania bolanderi","Herbarium record",2001-02-24,"2001","49.25","-123.166667"
