"gbifID","species","basisOfRecord","date","year","decimalLatitude","decimalLongitude"
"2005545003","Schistidium dupretii","Herbarium record",1926-06-28,"1926","49.975556","-117.227222"
"1211192967","Schistidium dupretii","Herbarium record",1925-07-25,"1925","51.355946","-116.336316"
"1987836421","Schistidium dupretii","Herbarium record",1977-08-03,"1977","50.9","-116.5"
"1987856947","Schistidium dupretii","Herbarium record",1976-07-10,"1976","59.7","-136.7"
"1987813286","Schistidium dupretii","Herbarium record",1977-07-22,"1977","50.0","-117.3"
"1987804136","Schistidium dupretii","Herbarium record",2013-07-25,"2013","51.5055","-116.5197"
"1987855034","Schistidium dupretii","Herbarium record",1929-09-11,"1929","50.0","-117.2"
"1987835091","Schistidium dupretii","Herbarium record",1967-09-03,"1967","59.4","-126.1"
"1987855775","Schistidium dupretii","Herbarium record",1971-08-23,"1971","49.7","-125.6"
"1987735198","Schistidium dupretii","Herbarium record",1979-09-06,"1979","52.1","-118.7"
"1987889106","Schistidium dupretii","Herbarium record",1982-08-17,"1982","49.7","-125.6"
"2028161592","Schistidium dupretii","Herbarium record",1992-07-27,"1992","59.483333","-137.8"
"3467304041","Schistidium dupretii","Herbarium record",1977-07-22,"1977","49.97","-117.3"
"1989230102","Schistidium dupretii","Herbarium record",1943-07-15,"1943","58.633333","-124.666667"
"1989111226","Schistidium dupretii","Herbarium record",1943-07-20,"1943","58.633333","-124.666667"
"1987846631","Schistidium dupretii","Herbarium record",1941-07-29,"1941","51.27","-117.52"
"1987888566","Schistidium dupretii","Herbarium record",1971-08-23,"1971","49.7","-125.6"
"1987846025","Schistidium dupretii","Herbarium record",1967-09-06,"1967","58.8","-125.0"
"1987842845","Schistidium dupretii","Herbarium record",2017-08-13,"2017","49.3","-123.14"
"1987734807","Schistidium dupretii","Herbarium record",2004-07-06,"2004","59.701","-133.357"
"1987908918","Schistidium dupretii","Herbarium record",1969-07-03,"1969","53.1","-121.5"
"1987834760","Schistidium dupretii","Herbarium record",1977-07-22,"1977","50.0","-117.3"
"1987910852","Schistidium dupretii","Herbarium record",1971-07-01,"1971","50.7","-116.0"
"1987893164","Schistidium dupretii","Herbarium record",1992-07-27,"1992","59.5","-137.8"
