"gbifID","species","basisOfRecord","date","year","decimalLatitude","decimalLongitude"
"1805302073","Stereodon callichrous","Herbarium record",1901-08-17,"1901","49.618224","-125.03246"
"1805442602","Stereodon callichrous","Herbarium record",1964-06-11,"1964","52.708333","-131.837222"
"2252159599","Stereodon callichrous","Herbarium record",1969-07-23,"1969","53.25","-132.583333"
"2252160877","Stereodon callichrous","Herbarium record",1977-07-26,"1977","58.435","-124.86"
"2252160518","Stereodon callichrous","Herbarium record",1972-07-11,"1972","54.583333","-130.0"
"3416708500","Stereodon callichrous","Herbarium record",1970-04-13,"1970","51.7","-127.8"
"2005548871","Stereodon callichrous","Herbarium record",1966-06-24,"1966","53.227222","-132.326389"
"2005548797","Stereodon callichrous","Herbarium record",1961-09-15,"1961","49.388333","-122.940556"
"2005548783","Stereodon callichrous","Herbarium record",1964-09-12,"1964","53.019167","-132.085555"
"2005548859","Stereodon callichrous","Herbarium record",1964-06-11,"1964","52.708333","-131.837222"
"2005548895","Stereodon callichrous","Herbarium record",1964-09-27,"1964","49.566667","-121.433333"
"2005548836","Stereodon callichrous","Herbarium record",1928-07-08,"1928","50.866667","-119.466667"
"2005548807","Stereodon callichrous","Herbarium record",1970-04-14,"1970","50.901111","-127.284444"
"2005548818","Stereodon callichrous","Herbarium record",1961-08-28,"1961","53.15","-132.13333"
"2005548847","Stereodon callichrous","Herbarium record",1962-07-09,"1962","53.108333","-132.525"
"2005548902","Stereodon callichrous","Herbarium record",1962-07-09,"1962","53.108333","-132.525"
"2005548796","Stereodon callichrous","Herbarium record",1977-07-26,"1977","58.444722","-124.860278"
"4076850108","Stereodon callichrous","Herbarium record",1977-07-26,"1977","58.428009","-124.849978"
"5076443474","Stereodon callichrous","Herbarium record",1901-08-17,"1901","49.616667","-125.016667"
"5076443475","Stereodon callichrous","Herbarium record",1976-07-13,"1976","59.833333","-135.0"
"5076443476","Stereodon callichrous","Herbarium record",1901-08-17,"1901","49.616667","-125.016667"
"5076443479","Stereodon callichrous","Herbarium record",1977-07-26,"1977","58.435","-124.86"
"1949668452","Stereodon callichrous","Herbarium record",1995-07-23,"1995","57.083333","-122.884722"
"2005548821","Stereodon callichrous","Herbarium record",1967-06-27,"1967","54.25","-132.983333"
"2005548816","Stereodon callichrous","Herbarium record",1964-09-12,"1964","53.019167","-132.085555"
"4851107596","Stereodon callichrous","Herbarium record",1969-07-23,"1969","53.25","-132.0"
"1987796409","Stereodon callichrous","Herbarium record",1971-07-02,"1971","50.23","-123.87"
"1987786433","Stereodon callichrous","Herbarium record",1971-04-21,"1971","50.6","-127.4"
"1987734038","Stereodon callichrous","Herbarium record",1967-07-28,"1967","52.8","-132.0"
"1987727859","Stereodon callichrous","Herbarium record",1962-09-05,"1962","49.5","-123.2"
"1987924645","Stereodon callichrous","Herbarium record",1970-08-29,"1970","49.4","-123.1"
"1987896557","Stereodon callichrous","Herbarium record",1977-07-26,"1977","58.4","-124.9"
"1987880228","Stereodon callichrous","Herbarium record",1967-06-24,"1967","53.4","-132.5"
"1987832824","Stereodon callichrous","Herbarium record",1969-08-03,"1969","49.4","-123.0"
"1987807409","Stereodon callichrous","Herbarium record",1969-08-10,"1969","49.1","-117.7"
"1987789906","Stereodon callichrous","Herbarium record",1966-07-12,"1966","52.6","-131.8"
"1987774936","Stereodon callichrous","Herbarium record",1985-08-18,"1985","53.1","-132.0"
"1987721792","Stereodon callichrous","Herbarium record",1966-07-03,"1966","53.2","-132.4"
"1987908114","Stereodon callichrous","Herbarium record",1963-06-12,"1963","54.6","-128.3"
"1987886590","Stereodon callichrous","Herbarium record",1986-07-16,"1986","49.9","-126.2"
"1987832057","Stereodon callichrous","Herbarium record",1970-09-12,"1970","50.4","-126.3"
"1987809719","Stereodon callichrous","Herbarium record",1971-07-02,"1971","52.3","-131.2"
"1987789562","Stereodon callichrous","Herbarium record",1977-06-23,"1977","50.2","-127.8"
"1987764193","Stereodon callichrous","Herbarium record",1995-07-23,"1995","57.1","-122.9"
"1987740725","Stereodon callichrous","Herbarium record",1967-06-20,"1967","53.2","-132.5"
"1987921652","Stereodon callichrous","Herbarium record",1986-08-02,"1986","51.5","-127.7"
"1987913571","Stereodon callichrous","Herbarium record",1969-07-24,"1969","53.24","-131.83"
"1987892093","Stereodon callichrous","Herbarium record",1963-09-22,"1963","49.4","-123.1"
"1987842862","Stereodon callichrous","Herbarium record",1974-09-29,"1974","50.3","-122.4"
"1987820205","Stereodon callichrous","Herbarium record",1996-09-06,"1996","49.3","-122.8"
"1987923588","Stereodon callichrous","Herbarium record",1961-05-12,"1961","54.3","-123.5"
"1987885195","Stereodon callichrous","Herbarium record",1986-08-02,"1986","51.6","-127.7"
"1987866174","Stereodon callichrous","Herbarium record",1986-08-01,"1986","51.5","-127.3"
"1987846894","Stereodon callichrous","Herbarium record",1963-06-14,"1963","53.8","-130.2"
"1987829066","Stereodon callichrous","Herbarium record",1967-07-28,"1967","52.8","-132.0"
"1987754298","Stereodon callichrous","Herbarium record",1986-08-11,"1986","53.5","-129.8"
"1987928706","Stereodon callichrous","Herbarium record",1968-08-03,"1968","52.8","-132.0"
"1987902498","Stereodon callichrous","Herbarium record",1969-07-12,"1969","49.1","-124.3"
"1987847838","Stereodon callichrous","Herbarium record",1962-09-05,"1962","49.5","-123.2"
"1987736523","Stereodon callichrous","Herbarium record",1970-04-14,"1970","53.2","-132.5"
"1987930677","Stereodon callichrous","Herbarium record",1994-06-26,"1994","53.3","-132.2"
"1987916368","Stereodon callichrous","Herbarium record",1966-07-22,"1966","53.3","-132.6"
"1987915803","Stereodon callichrous","Herbarium record",1969-07-26,"1969","53.6","-132.8"
"1987897153","Stereodon callichrous","Herbarium record",1977-06-23,"1977","50.2","-127.8"
"1987893805","Stereodon callichrous","Herbarium record",1967-07-02,"1967","53.0","-132.1"
"1987828847","Stereodon callichrous","Herbarium record",1966-06-24,"1966","53.2","-132.3"
"1987790873","Stereodon callichrous","Herbarium record",1963-06-14,"1963","54.3","-130.3"
"1987779216","Stereodon callichrous","Herbarium record",1966-07-27,"1966","52.7","-131.8"
"1987753891","Stereodon callichrous","Herbarium record",1957-08-09,"1957","53.3","-132.3"
"1987753557","Stereodon callichrous","Herbarium record",1966-06-18,"1966","52.3","-128.0"
