"gbifID","species","basisOfRecord","date","year","decimalLatitude","decimalLongitude"
"2005535404","Tortula hoppeana","Herbarium record",1927-07-22,"1927","51.5","-116.466667"
"2005535415","Tortula hoppeana","Herbarium record",1977-08-05,"1977","57.816667","-126.383333"
"2005535526","Tortula hoppeana","Herbarium record",1928-07-07,"1928","50.533333","-116.06667"
"2028209001","Tortula hoppeana","Herbarium record",1992-07-26,"1992","59.866667","-137.833333"
"2028267177","Tortula hoppeana","Herbarium record",1975-08-02,"1975","59.0","-133.0"
"2028223941","Tortula hoppeana","Herbarium record",1981-07-18,"1981","58.333333","-129.5"
"2028306254","Tortula hoppeana","Herbarium record",1977-07-20,"1977","56.55","-126.433333"
"1804390046","Tortula hoppeana","Herbarium record",1977-07-20,"1977","56.55","-126.433"
"1804443196","Tortula hoppeana","Herbarium record",1961-07-19,"1961","52.0","-120.0"
"1804364683","Tortula hoppeana","Herbarium record",1983-09-29,"1983","49.5833","-123.083"
"1804600155","Tortula hoppeana","Herbarium record",1956-06-06,"1956","54.5","-127.5"
"1804510362","Tortula hoppeana","Herbarium record",1981-07-18,"1981","58.3333","-129.5"
"1804445345","Tortula hoppeana","Herbarium record",1977-07-20,"1977","56.55","-126.433"
"1804455028","Tortula hoppeana","Herbarium record",1977-08-05,"1977","57.8167","-126.383"
"1804392777","Tortula hoppeana","Herbarium record",1981-07-20,"1981","58.3333","-129.5"
"1804365475","Tortula hoppeana","Herbarium record",1977-08-04,"1977","57.8333","-126.383"
"5076420509","Tortula hoppeana","Herbarium record",1976-07-09,"1976","59.666667","-136.75"
"5076420511","Tortula hoppeana","Herbarium record",1977-07-20,"1977","59.25","-131.233333"
"1949668596","Tortula hoppeana","Herbarium record",1977-09-01,"1977","49.883333","-114.883333"
"332944655","Tortula hoppeana","Herbarium record",1977-07-26,"1977","57.433333","-126.85"
"1987929849","Tortula hoppeana","Herbarium record",1978-07-17,"1978","50.3","-117.1"
"1987869538","Tortula hoppeana","Herbarium record",1977-07-22,"1977","50.0","-117.3"
"1987734136","Tortula hoppeana","Herbarium record",1966-09-13,"1966","49.9","-123.0"
"1987867125","Tortula hoppeana","Herbarium record",,"1976","59.0","-133.0"
"1987818178","Tortula hoppeana","Herbarium record",,"1976","59.0","-133.0"
"1987758722","Tortula hoppeana","Herbarium record",1974-08-23,"1974","59.0","-133.0"
"1987738225","Tortula hoppeana","Herbarium record",1976-07-09,"1976","59.7","-136.8"
"1987933893","Tortula hoppeana","Herbarium record",1982-07-18,"1982","49.1","-121.8"
"1987810065","Tortula hoppeana","Herbarium record",1977-07-13,"1977","51.2","-123.1"
"1987803648","Tortula hoppeana","Herbarium record",1976-07-10,"1976","60.0","-136.9"
"1987760364","Tortula hoppeana","Herbarium record",1984-09-09,"1984","49.1","-120.7"
"1987741826","Tortula hoppeana","Herbarium record",1977-08-16,"1977","51.2","-123.1"
"1987927885","Tortula hoppeana","Herbarium record",1974-07-21,"1974","54.8","-127.3"
"1987799481","Tortula hoppeana","Herbarium record",1977-08-23,"1977","51.3","-117.6"
"1987771146","Tortula hoppeana","Herbarium record",1983-09-29,"1983","49.6","-123.1"
